Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
Technical Officer (CM/Product Data Management) (LD-94),NATO Support and Procurement Agency (NSPA),Capellen (Luxembourg),Entry Professional,Posted 2 months ago,,https://www.unjobnet.org/jobs/detail/51049296
"Textile Industry Expert for Capacity Development, Research, and Advocacy (Consultancy Roster)",United Nations University (UNU),Dresden (Germany),Chief and Senior Professional,Posted 2 months ago,,https://www.unjobnet.org/jobs/detail/51035201
GIS Research Analyst,World Resources Institute (WRI),Jakarta (Indonesia),,Posted 2 months ago,,https://www.unjobnet.org/jobs/detail/50907592
Associate Research Fellow / Research Fellow,International Food Policy Research Institute (IFPRI),Washington DC (United States),,Posted 2 months ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/50850643
Data Quality Manager,International Rescue Committee (IRC),United KingdomIreland,,Posted 2 months ago,Close on 31 Mar 2023,https://www.unjobnet.org/jobs/detail/50800239
"Associate, Digital Communications, Global Partnership for Sustainable Development Data Employment Opportunity",United Nations Foundation (UN FOUNDATION),Washington DC (United States),,Posted 2 months ago,,https://www.unjobnet.org/jobs/detail/50797694
Data Protection Specialist,Mercy Corps,Amman (Jordan),,Posted 2 months ago,,https://www.unjobnet.org/jobs/detail/50771091
Data & Measurement Coordinator,International Rescue Committee (IRC),Colombia,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50756947
Research Associate/Associate Fellow - Energy Security and Climate Change Program,The Center for Strategic and International Studies (CSIS),Washington DC (United States),,Posted 2 months ago,,https://www.unjobnet.org/jobs/detail/50635100
Research Coordinator,International Rescue Committee (IRC),United States,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50626623
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
"Applied Plant Geneticist, Dryland Legumes and Cereals",International Maize and Wheat Improvement Center (CIMMYT),Nairobi (Kenya),,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50482494
"Director of Analysis Research and Learning (DARL), Ethiopia Sustainable Peace Activity",Pact,,Full-time,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50471961
"VN 2022 402 Deputy Project Manager (Data Integrity and Case Management) (P4) Islamabad, Pakistan",International Organization for Migration (IOM),Islamabad (Pakistan),Mid-level Professional,Posted 3 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50430045
Senior Research Assistant,Bioversity International,,,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50413170
Associé de Recherche -Nutrition ( DR Congo),Bioversity International,Democratic Republic of the Congo,,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50407776
EO Data Processing Engineer (2 posts),European Space Agency (ESA),,,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50396923
Data Visualization Designer - iDeas Lab,The Center for Strategic and International Studies (CSIS),Washington DC (United States),,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50326631
INTERN - STATISTICS [Temporary],United Nations Department of Economic and Social Affairs (UN DESA),New York (United States),Intern,Posted 3 months ago,Close on 27 Apr 2023,https://www.unjobnet.org/jobs/detail/50274680
"Especialista de Monitoreo, Evaluación, Investigación y Aprendizaje / Monitoring, Evaluation, Research, & Learning (MERL) Lead",FHI 360,Guatemala,,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50166321
National Researcher – Participatory Action Research,International Maize and Wheat Improvement Center (CIMMYT),Harare (Zimbabwe),Locallly Recruited,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50121108
Laboratory Research Technician,International Maize and Wheat Improvement Center (CIMMYT),Texcoco de Mora (Mexico),,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50037158
"Research and Development, Partners Management Specialist",International Maize and Wheat Improvement Center (CIMMYT),Texcoco de Mora (Mexico),,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50031701
Data Manager (LQ-53),NATO Support and Procurement Agency (NSPA),Capellen (Luxembourg),Associate,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/50010753
Air Quality (AQ) Research Lead,World Resources Institute (WRI),Jakarta (Indonesia),,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/49884150
Data and Informatics Manager,International Maize and Wheat Improvement Center (CIMMYT),Multiple locations,,Posted 3 months ago,,https://www.unjobnet.org/jobs/detail/49825098
"Epidemiologist, Research Associate, Malaria Analytics, Surveillance, and Technology, West Africa","The Clinton Health Access Initiative, Inc. (CHAI)",Ouagadougou (Burkina Faso),,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49564825
Business Intelligence Developer for Fundraising,Mercy Corps,,,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49533449
Agronomy Research Intern,Bioversity International,,Internship,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49485075
IITA KENYA – DATA ANALYST (3 Positions),Bioversity International,Kenya,,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49485074
Associate Research Fellow/Research Fellow,International Food Policy Research Institute (IFPRI),Addis Ababa (Ethiopia),,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49269680
Senior Research Associate,International Maize and Wheat Improvement Center (CIMMYT),Dhaka (Bangladesh),,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49166910
Research Associate,International Maize and Wheat Improvement Center (CIMMYT),Dhaka (Bangladesh),,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49166909
Senior Research Associate,International Maize and Wheat Improvement Center (CIMMYT),Dhaka (Bangladesh),,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49139890
"Program Officer (Data Coordination), two positions, LES 6",International Commission on Missing Persons (ICMP),Kyiv (Ukraine),,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/49080610
Mechanization Research Assistant,International Maize and Wheat Improvement Center (CIMMYT),Texcoco de Mora (Mexico),,Posted 4 months ago,,https://www.unjobnet.org/jobs/detail/48784289
Data and Informatics Manager,International Maize and Wheat Improvement Center (CIMMYT),Nairobi (Kenya),,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/48189825
Social Research Coordinator,International Maize and Wheat Improvement Center (CIMMYT),Biratnagar (Nepal),,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/48151398
HRIS Data & Reporting Manager - People Systems & Analytics,Mercy Corps,,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/48148494
Data and Informatics Manager,World Agroforestry (ICRAF),Nairobi (Kenya),Full-time,Posted 5 months ago,Close on 9 Nov 2023,https://www.unjobnet.org/jobs/detail/48000992
A Consultant – Nutritionist Consultant (Nutrition Research and Food Composition),World Agroforestry (ICRAF),Zambia,Consultancy,Posted 5 months ago,Close on 9 Feb 2024,https://www.unjobnet.org/jobs/detail/47959442
Research Assistant (Biostatistics & Data Management Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47803436
"Monitoring, Evaluation, Research and Learning (MERL) Director Senegal USAID Project",Winrock International,Dakar (Senegal),Full-time,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47696443
Social Research Coordinator,International Maize and Wheat Improvement Center (CIMMYT),India,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47686902
Senior Research Associate,International Maize and Wheat Improvement Center (CIMMYT),Kathmandu (Nepal),,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47646691
"Specialist, Data and Informatics Manager",International Maize and Wheat Improvement Center (CIMMYT),Senegal,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47564010
"Epidemiologist, Senior Research Associate","The Clinton Health Access Initiative, Inc. (CHAI)",Laos,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47548009
"Consultant as Gender, Equity, and Social Inclusion (GESI) Research Analyst",World Resources Institute (WRI),Jakarta (Indonesia),,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47522209
DATA ANALYST & WEB DEVELOPER,Bioversity International,,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47459702
SENIOR RESEARCH ASSOCIATE - VALUE CHAIN SPECIALIST,Bioversity International,,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47459700
Assistant Research Associate – Gender and Social Inclusion,International Maize and Wheat Improvement Center (CIMMYT),Delhi (India),,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47264757
Research Associate-Aquaculture/Fish Rice,International Maize and Wheat Improvement Center (CIMMYT),India,,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/47205309
"CEP Research Associate, China Climate and Energy Program",World Resources Institute (WRI),Beijing (China),,Posted 5 months ago,,https://www.unjobnet.org/jobs/detail/46949810
Research Analyst ACAPS Ukraine (Ukrainian nationals only),Norwegian Refugee Council (NRC),Ukraine,,Posted 6 months ago,,https://www.unjobnet.org/jobs/detail/46814338
Data Management and Analysis Officer,World Agroforestry (ICRAF),Lusaka (Zambia),Full-time,Posted 6 months ago,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/46800995
Sr./Research Associate – Biometrician,International Maize and Wheat Improvement Center (CIMMYT),Hyderabad (India),,Posted 6 months ago,,https://www.unjobnet.org/jobs/detail/46497382
Assistant Research Associate – Crop Modeller,International Maize and Wheat Improvement Center (CIMMYT),Harare (Zimbabwe),,Posted 6 months ago,,https://www.unjobnet.org/jobs/detail/46294433
Research Assistant,Partners In Health (PIH),Kigali (Rwanda),,Posted 6 months ago,,https://www.unjobnet.org/jobs/detail/46173743
"VN 2022 242 Software Developer (Migration Information and Data Analysis System (MIDAS)) (P2) Panama Administrative Centre (PAC), Panama City, Panama",International Organization for Migration (IOM),Panama City (Panama),Entry Professional,Posted 6 months ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/46127938
Research Assistant (Policy & Economic Research Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 6 months ago,,https://www.unjobnet.org/jobs/detail/45924949
Associate Research Fellow,International Food Policy Research Institute (IFPRI),Dakar (Senegal),,Posted 6 months ago,,https://www.unjobnet.org/jobs/detail/45863988
Field Research Technician – Nursery and Seed Production,International Maize and Wheat Improvement Center (CIMMYT),Nairobi (Kenya),,Posted 7 months ago,,https://www.unjobnet.org/jobs/detail/44985638
Field Research Technician,International Maize and Wheat Improvement Center (CIMMYT),Nairobi (Kenya),,Posted 7 months ago,,https://www.unjobnet.org/jobs/detail/44978499
Field Research Technician,World Agroforestry (ICRAF),Nairobi (Kenya),Full-time,Posted 7 months ago,Close on 7 Jun 2023,https://www.unjobnet.org/jobs/detail/44968460
Field Research Technician - Nursery and Seed Production,World Agroforestry (ICRAF),Nairobi (Kenya),Full-time,Posted 7 months ago,Close on 7 Jun 2023,https://www.unjobnet.org/jobs/detail/44968459
"Research Advisor II, Malaria (French Speaking)",Population Services International (PSI),Washington DC (United States),,Posted 7 months ago,,https://www.unjobnet.org/jobs/detail/44931729
"Research Advisor I, Malaria",Population Services International (PSI),Washington DC (United States),,Posted 7 months ago,,https://www.unjobnet.org/jobs/detail/44931728
Research Assistant Socioeconomics,World Agroforestry (ICRAF),Yaounde (Cameroon),Full-time,Posted 7 months ago,Close on 7 May 2023,https://www.unjobnet.org/jobs/detail/44582079
Data Specialist – Côte d’Ivoire,World Agroforestry (ICRAF),,Full-time,Posted 8 months ago,Close on 6 Feb 2024,https://www.unjobnet.org/jobs/detail/43822766
Internal Research Fellow (PostDoc) in Software Product Assurance,European Space Agency (ESA),,,Posted 8 months ago,,https://www.unjobnet.org/jobs/detail/43736945
Consultant: Data analysis for Southern Malawi,International Food Policy Research Institute (IFPRI),,,Posted 8 months ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/43547766
"Epidemiologist, Senior Research Associate, Southern Africa","The Clinton Health Access Initiative, Inc. (CHAI)",Mozambique,,Posted 8 months ago,,https://www.unjobnet.org/jobs/detail/42849402
Consultant - Energy Program Research Analyst,World Resources Institute (WRI),Multiple locations,,Posted 8 months ago,,https://www.unjobnet.org/jobs/detail/42416076
Consultant - Data Engineer - Remote,Mercy Corps,United StatesRemote WorkMultiple locations,,Posted 9 months ago,,https://www.unjobnet.org/jobs/detail/41094881
National Professional Officer (Irrigation Statistics),Food and Agriculture Organization (FAO),Saudi Arabia,Full-time,Posted 10 months ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/40753847
Consultant – A legal expert to review the governance systems on data sharing in OFESA countries to support development of a governance framework for the observatory of Eastern and Southern Africa,World Agroforestry (ICRAF),Nairobi (Kenya),Chief and Senior Professional,Posted 10 months ago,Close on 4 Mar 2023,https://www.unjobnet.org/jobs/detail/40085957
"Young Child Feeding Practice (IYCF) Knowledge, Attitude & Practice (KAP) Survey Consultancy",Relief International (RI),Sudan,,Posted 11 months ago,,https://www.unjobnet.org/jobs/detail/39370922
Associate Research Scientist (Policy & Economic Research Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 11 months ago,,https://www.unjobnet.org/jobs/detail/39369619
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
